"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"PreUnit","£"
"Unit","m"
"Release date","12-08-2020"
"Next release","30 September 2020"
"1955","452937"
"1956","460617"
"1957","469774"
"1958","476145"
"1959","495991"
"1960","527484"
"1961","541733"
"1962","547685"
"1963","574300"
"1964","606431"
"1965","619350"
"1966","629058"
"1967","646519"
"1968","681901"
"1969","695124"
"1970","713952"
"1971","738974"
"1972","770910"
"1973","821203"
"1974","800801"
"1975","789000"
"1976","811962"
"1977","831918"
"1978","866894"
"1979","899394"
"1980","881124"
"1981","874183"
"1982","891622"
"1983","929265"
"1984","950351"
"1985","989766"
"1986","1020947"
"1987","1076004"
"1988","1137685"
"1989","1167010"
"1990","1175573"
"1991","1162605"
"1992","1167268"
"1993","1196331"
"1994","1242342"
"1995","1273790"
"1996","1305527"
"1997","1355853"
"1998","1405272"
"1999","1453448"
"2000","1503408"
"2001","1548124"
"2002","1584110"
"2003","1636169"
"2004","1675011"
"2005","1728273"
"2006","1776462"
"2007","1819641"
"2008","1814526"
"2009","1737448"
"2010","1771321"
"2011","1798603"
"2012","1825204"
"2013","1864255"
"2014","1912866"
"2015","1957920"
"2016","1995478"
"2017","2033234"
"2018","2060494"
"2019","2090632"
